review_id,header,review,date,reviewer,location,rev_n_ratings,rating,brand_base_urls,name,country,category,price,n_ratings
3349,"Great sipping Rum , and cheap","The Diplomatico was my first Rum many years ago ,and i love him until today.Nose: sweet , caramel,vanilla smoke,fruit,nuttyTase: sweet,caramel ,vanilly, fruity,nutty,smoke,oakthe Diplomatico Reserva Exclusiva before 2012 was a little bit better .",2014-05-16,Gerald,Austria,21,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
1889,My personal favorite,"So far, this is my absolute favorite rum.  You don't need ice to mellow it out, it has almost no burn, but still full of flavor.  I wouldn't dare put this in a cocktail or with coke, it would be a disgrace to do that.  It is extremely smooth.",2013-07-08,JIsurfer,United States,17,10,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
16145,The one that got me sipping.,"Diplomatico RE was my first sipping rum. Couldn't have chosen a better one to start with. Being new to the rum review game, I won't try to use fancy lingo like flavor notes, legs or complexity. I will just say that it smells and tastes like sweet deliciousness with a subtle burn. Drinking it neat is the way to go. Ice and water takes away from that creamy goodness and mixing hides that great flavor. I have graduated to less sweet rums but this will always stay in heavy rotation at my house. At around $35 USD (01/2016), this is a must have.",2016-01-22,RedBlaze6,United States,26,8,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
9269,The best. Period.,"I've tried hundreds of rums, and have I've 75 different types in my cellar at home. I have 4 cases of this. It's that fantastic. Rich and creamy, heavy caramel and toffee, without being overwhelmed with hard oak. This is the epitome of rum, the gold standard by which all others are judged. Superb!",2015-06-04,Dustin R. Newton,United States,33,10,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
2726,Forrest,"Diplomatic RE is an excellent sipping rum. Sweet enough but not quite as much as Zaya . Buttery caramel flavor with the smoky burnt oak misting through. I can sip a good glass of rum for two hours. Add a twist of lime and try that with this rum. Let me know if after about 30 to 45 minutes you , you don't find the nose has evolved to a different rum. All in a good way. If it were not more expensive than Zaya, it would also be a 10 but I have to say 9.",2014-03-08,forrest loftis,United States,13,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
15759,Aint no rum,"As tasty as this is, rating is down as it's not a rum - it's a liqueur:Nose: Big caramel, toffee, butterscotch (you get the idea). Vanilla and dark fruits, maybe some orange skin. Tiny prickle of spice from the oak. The combination is not complex but it is certainly very hedonistic.Palate: Big caramel, toffee, butterscotch. Vanilla and dark fruits......oh wait. Nose, taste and repeat. Very viscous and mouth-coating, actually quite cloying. Yep, it's a liqueur. Delicious though.Finish: Actually surprisingly long, didn't expect that. Lashings of vanilla and a bit of oaky bitterness but I get the impression that the finish is just there because my mouth is still coated with the sticky rum and I'm still getting ""palate"" and not an actual ""finish"".More here:https://rumtastic.wordpress.com/2016/01/15/diplomatico-reserva-exclusiva-review/",2016-01-15,Rumtastic,United Kingdom,20,5,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
25675,"It’s not Rum, it’s a Rum-based Liqueur.","Wow, this is like sweet, rum-flavored pancake syrup. Based on the reviews here, I went out and bought a bottle ($40), and was hoping to discover a new favorite sipping rum. It never happened. From the first sip, I was like..""huh?""  My background is, I have dietary restrictions and don't drink soda or eat a lot of candy (sugar) or sugary drinks or food, even. So maybe my tolerance for sugar is low, who knows. But this stuff is cloyingly sweet, the aftertaste is similar to that of having eaten hard candy. You can taste this sickly sweet residue in your mouth for long afterwards. Don't get me wrong, it's not ""bad"" rum, it's sweet and slightly pleasant, but for a rum purist, it's horrible. I can't believe I just blew $40 on this bottle of rum-flavored syrup. It also has a strong scent of vanilla, no doubt added. Like I said, it's not rum, it's a liqueur. It has a nice burn down the throat, but the sticky sweetness is horrible for me, and it makes me want to brush my teeth. Sorry guys, I'm voting against the grain on this one.",2016-11-03,James Dylan,United States,8,3,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
12619,Very nice and well worth its price,"Diplomático Reserva Exclusiva comes in a nice bottle and the rum is delivered in a nice tube (as in the picture).The smell is very sweet with lots of caramel, cacao and vanilla.In mouth this rum is very velvety with a small hint of spice at the end. The taste is full of vanilla, cacao and orange.The finish is long, mild and sweet with a little bit of spice.A sipper that also goes well as a blender. This one should be in every collection :)",2015-10-25,LarsF,Sweden,39,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
4971,Phenominal Sipping Rum,"This rum was unbelievably great for sipping. I was fearful that it would be a bit too sweet after reading a few reviews and giving it a smell, but it ended up being extremely well balanced and smooth all the way through. There are rich sweet caramel/molasses aromas followed quickly by oak and smoky notes. The taste is very similar to the smell with sweet caramel at first, hints of vanilla, and then small oak notes. It is very smooth all the way through with no harshness whatsoever. This is like a desert, but not too sweet. One of my new absolute favorites. ",2014-10-22,Eric,United States,7,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
2046,Excellent sipper,"A luxurious adventure of rich evolving tastes: molasses, chocolate, toffee, vanilla, orange, at a very reasonable price.  Quite smooth and easy on the palate.  I surprise devotees of high end bourbon and scotch with this sipping rum.  Mmmm... ",2013-08-20,redwdz,United States,1,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
703,One of the best rums I have tasted!,"For people who like sweet rums, this one should be a winner! The Diplomatico Réserva Exclusiva is a very sweet aged rum from Venezuela, which brings out his fruit and spiced notes without being strong at all in the throat.",2013-02-02,Benito B.,Luxembourg,68,10,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
23648,Could be good on Pancakes!,"I'll give a mention to this fellow that nailed the rum review: https://rumtastic.wordpress.com/2016/01/15/diplomatico-reserva-exclusiva-review/It's just too sweet for me. Rums by their nature will tend to have a sweeter note, but this is playing to a crowd that wants liquid candy in their mouth. I'm currently experimenting with drier and spicier rums to mix it with in order to try and bring some semblance of balance.",2016-09-08,James,United States,12,4,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
2758,THE Diplomatico,"So it was (one of) the fist of my aged rums, and it's why I love them that much.As I don't taste it from long time I'm normally objective on this ratting (and I'm more interested on some Bourbon now ;p ).A nice smell of mixed vanillia and caramel and a bit spicy, who remember me the Rooibos (false tea). On the mouth the same flavor is present but more stonguer, giving a round and sweat rum, with a bit of astringent and a long sweet caramel/vanillia finish.Realy a nice and good rum for everyone. A great first choice for start aged rum.",2014-03-16,OmegaP,France,12,8,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
2392,A worthy top rated sipping rum,I love the long thin slow legs that appear above the golden brown swirl in the glass. As I bring the glass to my nose there is the reward of soft vanilla and a tinge of cocoa and molasses to tempt my taste buds. I find the sweetness a delightful accompaniment to the report of spices from my olfactory senses. The burn is gentle as the golden brown goodness rolls around the sides of my tongue and down the throat. A delightful sipping experience. ,2013-12-19,Rumm,United States,3,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
