name,country,category,price,n_ratings,brand_base_urls
Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva
Ron Zacapa 23 Solera,Guatemala,Aged,48.26,1252,https://www.rumratings.com/brands/853-ron-zacapa-23-solera
Kraken Black Spiced,Trinidad,Spiced,16.47,869,https://www.rumratings.com/brands/482-kraken-black-spiced
Pyrat XO,Anguilla,Aged,22.58,739,https://www.rumratings.com/brands/671-pyrat-xo
El Dorado 12-Year,Guyana,Aged,34.37,739,https://www.rumratings.com/brands/367-el-dorado-12-year
Plantation XO 20th Anniversary,Caribbean,Aged,54.67,730,https://www.rumratings.com/brands/654-plantation-xo-20th-anniversary
El Dorado Special Reserve 15-Year,Guyana,Aged,50.08,546,https://www.rumratings.com/brands/377-el-dorado-special-reserve-15-year
Havana Club 7-Year,Cuba,Aged,23.79,534,https://www.rumratings.com/brands/436-havana-club-7-year
Ron Zacapa XO,Guatemala,Aged,90.24,488,https://www.rumratings.com/brands/854-ron-zacapa-xo
Sailor Jerry Spiced,US Virgin Islands,Spiced,21.75,481,https://www.rumratings.com/brands/866-sailor-jerry-spiced
Don Papa Small Batch,Philippines,Aged,41.9,473,https://www.rumratings.com/brands/1052-don-papa-small-batch
Zaya Gran Reserva 12-Year,Trinidad,Aged,30.99,463,https://www.rumratings.com/brands/1030-zaya-gran-reserva-12-year
Appleton Estate 12-Year,Jamaica,Aged,35.87,426,https://www.rumratings.com/brands/37-appleton-estate-12-year
Bacardi Superior,Puerto Rico,Light,13.57,408,https://www.rumratings.com/brands/1033-bacardi-superior
Matusalem Gran Reserva 15-Year,Dominican Republic,Aged,27.53,407,https://www.rumratings.com/brands/532-matusalem-gran-reserva-15-year
Mount Gay XO Extra Old,Barbados,Aged,41.97,389,https://www.rumratings.com/brands/565-mount-gay-xo-extra-old
Bacardi Oakheart,Puerto Rico,Spiced,13.35,388,https://www.rumratings.com/brands/79-bacardi-oakheart
Dos Maderas PX 5+5,Barbados,Aged,30.49,361,https://www.rumratings.com/brands/341-dos-maderas-px-5-5
Santa Teresa 1796,Venezuela,Aged,32.49,332,https://www.rumratings.com/brands/870-santa-teresa-1796
