;Label;Country;Category;Rating;Raters;Price
118;10 Cane Light;Trinidad;Light;6,5;59;NA
402;1931 81st Anniversary;St. Lucia;Aged;8,8;12;82,35
330;1931 82nd Anniversary;St. Lucia;Aged;7,4;15;NA
371;A. H. Riise 1888 Copenhagen Gold Medal;Denmark;Aged;8;14;NA
274;A. H. Riise Family Reserve Solera;Denmark;Aged;7,5;19;NA
207;A. H. Riise Navy Strength 55%;Denmark;Gold;8,3;26;NA
148;A. H. Riise Non Plus Ultra Very Rare;Denmark;Aged;8,1;43;161,02
147;A. H. Riise Royal Danish Navy;Denmark;Gold;7,6;43;NA
403;A. H. Riise XO 175 Years Anniversary;Denmark;Aged;7,4;12;NA
149;A. H. Riise XO Reserve;Denmark;Aged;7;43;NA
280;A. H. Riise XO Reserve Christmas;Denmark;Aged;6,8;18;NA
261;A. H. Riise XO Reserve Sauternes Cask;Denmark;Aged;6,8;20;71,91
70;Abuelo 12 Anos Gran Reserva;Panama;Aged;7,8;109;NA
104;Abuelo 7 Anos Reserva Superior;Panama;Aged;7,1;66;NA
133;Abuelo Anejo;Panama;Gold;6,6;48;NA
100;Abuelo Centuria;Panama;Aged;8,9;68;157,22
232;Admiral Nelsons Premium Spiced;USA;Spiced;6,1;23;NA
95;Admiral Rodney Extra Old 12-Year;St. Lucia;Aged;7,9;75;54,96
68;Angostura 1824;Trinidad;Aged;8;113;85,44
18;Angostura 1919;Trinidad;Aged;7,1;205;39,7
311;Angostura 5-Year;Trinidad;Gold;6,1;16;20,88
181;Angostura 7-Year;Trinidad;Aged;6,6;32;21,18
273;Angostura Cask Collection Number 1 Batch 1;Trinidad;Aged;8,7;19;77,04
484;Angostura Single Barrel Reserve;Trinidad;Aged;7,1;9;NA
10;Appleton Estate 12-Year;Jamaica;Aged;7,2;272;35,24
83;Appleton Estate 21-Year;Jamaica;Aged;8,3;86;116,05
412;Appleton Estate 30-Year Limited Edition;Jamaica;Aged;8,8;12;NA
493;Appleton Estate 50-Year;Jamaica;Aged;9,3;9;NA
142;Appleton Estate 8-Year;Jamaica;Aged;6,5;44;29,83
120;Appleton Estate Reserve;Jamaica;Gold;6,7;59;23,97
383;Appleton Estate Reserve Blend;Jamaica;Aged;5,5;13;NA
223;Appleton Estate Signature Blend;Jamaica;Aged;5,5;24;NA
135;Appleton Estate Special Gold;Jamaica;Gold;5,3;47;20,05
50;Appleton Estate V/X;Jamaica;Gold;6,3;167;19,87
384;Appleton Estate White;Jamaica;Light;4,9;13;15,96
360;Arcane Delicatissime;Mauritius;Gold;7,1;14;NA
97;Arcane Extraroma;Mauritius;Aged;7,4;74;42,59
502;Arehucas Golden;Spain;Gold;4,4;9;NA
471;Atlantico Platino;Dominican Republic;Light;5,8;10;35,42
88;Atlantico Private Cask;Dominican Republic;Aged;6,9;82;NA
314;Atlantico Reserva;Dominican Republic;Gold;6,6;16;44,44
80;Bacardi 151;Puerto Rico;Overproof;4,2;89;51,01
24;Bacardi 8;Puerto Rico;Aged;6,9;186;27,23
139;Bacardi Aejo;Puerto Rico;Gold;5,4;45;NA
286;Bacardi Big Apple;Puerto Rico;Flavored;4,2;18;NA
77;Bacardi Black;Puerto Rico;Dark;4,4;94;31,66
123;Bacardi Carta Blanca;Puerto Rico;Light;3;54;17,67
352;Bacardi Carta Negra;Puerto Rico;Dark;5,1;14;NA
323;Bacardi Carta Oro;Puerto Rico;Gold;4,9;15;25,18
247;Bacardi Coconut;Puerto Rico;Flavored;5,3;21;NA
59;Bacardi Gold;Puerto Rico;Gold;4,9;135;NA
369;Bacardi Gran Reserva Maestro de Ron;Puerto Rico;Light;6,4;14;NA
295;Bacardi Grand Melon;Puerto Rico;Flavored;4,1;17;NA
108;Bacardi Limon;Puerto Rico;Flavored;4,1;64;NA
235;Bacardi Mojito;Puerto Rico;Flavored;2,8;22;33,64
327;Bacardi O;Puerto Rico;Flavored;3,9;15;NA
17;Bacardi Oakheart;Puerto Rico;Spiced;5,6;217;13,12
