"b'Ron Zacapa 23 Solera'","a"
"b'Diplomatico Reserva Exclusiva'","n"
"b'Kraken Black Spiced'","i"
"b'Pyrat XO'","g"
"b'El Dorado 12-Year'","y"
"b'Plantation XO 20th Anniversary'","r"
"b'El Dorado 15-Year Special Reserve'","y"
"b'Zaya Gran Reserva'","i"
"b'Havana Club 7-Year'","b"
"b'Appleton Estate 12-Year'","m"
"b'Ron Zacapa XO'","a"
"b'Sailor Jerry Spiced'",""
"b'Bacardi Superior'","e"
"b'Captain Morgan Spiced'","e"
"b'Matusalem Gran Reserva 15-Year'","m"
"b'Don Papa Small Batch'","i"
"b'Bacardi Oakheart'","e"
"b'Angostura 1919'","i"
"b'Malibu Coconut'","n"
"b'Santa Teresa 1796'","n"
"b'Dos Maderas PX 5x5'","r"
"b'Mount Gay XO Extra Old'","r"
"b'Diplomatico Reserva'","n"
"b'Bacardi 8'","e"
"b'Ron Zacapa 23 Solera'","a"
"b'Diplomatico Reserva Exclusiva'","n"
"b'Kraken Black Spiced'","i"
"b'Pyrat XO'","g"
"b'El Dorado 12-Year'","y"
"b'Plantation XO 20th Anniversary'","r"
"b'El Dorado 15-Year Special Reserve'","y"
"b'Zaya Gran Reserva'","i"
"b'Havana Club 7-Year'","b"
"b'Appleton Estate 12-Year'","m"
"b'Ron Zacapa XO'","a"
"b'Sailor Jerry Spiced'",""
"b'Bacardi Superior'","e"
"b'Captain Morgan Spiced'","e"
"b'Matusalem Gran Reserva 15-Year'","m"
"b'Don Papa Small Batch'","i"
"b'Bacardi Oakheart'","e"
"b'Angostura 1919'","i"
"b'Malibu Coconut'","n"
"b'Santa Teresa 1796'","n"
"b'Dos Maderas PX 5x5'","r"
"b'Mount Gay XO Extra Old'","r"
"b'Diplomatico Reserva'","n"
"b'Bacardi 8'","e"
"b'Havana Club 3-Year'","b"
"b'Appleton Estate V/X'","m"
"b""Gosling's Black Seal""","r"
"b'El Dorado 21-Year'","y"
"b'Barcelo Imperial'","m"
"b'Ron Millonario Reserva Especial 15'","r"
"b'Pampero Aniversario Reserva Exclusiva'","n"
"b'Captain Morgan Dark'","e"
"b'Captain Morgan Private Stock'","e"
"b'Flor de Cana 12-Year'","c"
"b'Bacardi Gold'","e"
"b'Flor de Cana 18-Year'","c"
