;label;sugar
1;1931 (1st Edition) St Lucia Distillers (43%);0
2;1931 (2nd Edition) St Lucia Distillers   (43%);0
3;1931 (2st Edition) St Lucia Distillers (43%);0
4;1931 (3rd Edition) St Lucia Distillers (43%);12
5;1931 (4th Edition) St Lucia Distillers (43%);0
6;A.H.Riise Non-Plus Ultra Very Rare Rum;82
8;A.H.Riise Royal Danish Navy Rom;6
7;A.H.Riise Royal Danish Navy Rom (55%);96
9;A.H.Riise XXO Port Cask Finish;48
10;Abuelo 7 Year Old;15
14;Abuelo Anejo;27
566;Abuelo Anejo 12;29
11;Abuelo Anejo 12 yr;29
567;Abuelo Anejo 7;20
12;Abuelo Anejo 7 yr;20
13;Abuelo Anejo 7y (old);25
15;Abuelo Centuria;27
569;Abuelo Centuria;20
16;Admiral Rodney Finest St Lucia Rum;0
17;Akaya Organic White;3
570;Aldea Cana Pura;4
571;Aldea Dark 8y;41
572;Aldea Familia 15y;20
573;Aldea Superior 10y;22
574;Aldea Tradicion 1991;27
18;Ancient Mariner (Caroni 16 Year);0
19;Angostura 1824;17
20;Angostura 1824;18
22;Angostura 1919;13
24;Angostura 1919;14
26;Angostura 5 year old;0
27;Angostura Cask No. 1;32
28;Angostura No. 1;32
29;Angostura No1 Cask (1st Edition);32
30;Appleton Estate 12;0
32;Appleton Estate 21;0
31;Appleton Estate 21 (2011);0
33;Appleton Estate Aged 21 Years;0
35;Appleton Estate Extra 12;3
34;Appleton Estate Extra 12 yr;3
37;Appleton Estate Extra 12yr;0
38;Appleton Estate Rare Blend Aged 12 Years (formerly Extra);0
39;Appleton Estate Reserve (8 Year Old);0
40;Appleton Estate Signature Blend (formerly V/X);0
41;Appleton Estate V/X;0
42;Appleton Special;0
43;Appleton White;0
44;Arcane Extraroma;18
45;Atlantico Private Cask;25
46;Bacardi 8 yr;20
47;Bacardi 8yr;12
48;Bacardi Black;16
49;Bacardi Black;8
50;Bacardi Carta Blanca;0
51;Bacardi Carta Fuego Red Spice;92
52;Bacardi Carta Negra;14
53;Bacardi Gold;0
55;Bacardi Gran Reserva;17
54;Bacardi Gran Reserva (Maestro de Ron);19
56;Bacardi Grand Melon;93
57;Bacardi Heritage 1909 45%;0
59;Bacardi Mojito;94
60;Bacardi Oakheart;20
61;Bacardi Razz;95
64;Bacardi Reserva;6
62;Bacardi Reserva Limitada;15
65;Bacardi Spice;22
66;Bacardi Superior;0
68;Bacardi Superior;0
70;Bacardi Superior;3
69;BacardiSuperior;3
71;Baltic Dark;0
72;Baltic Light;0
73;Baltic Triple Orange;40
74;Bank's 5 Island;0
75;Banks Connoisseurs Cut Guyana;0
76;Barbados Rommi;11
77;Barbancourt 15, 2/3 full;6
78;Barbancourt 15, very old, nearly empty;8
80;Barbancourt Five Star;4
81;Barbancourt Five Star;6
82;Barbancourt Five Star;8
79;Barbancourt Five Star, <1/2 full;6
83;Barbancourt Three Star,  full;4
84;Barbancourt White,  full;4
575;Barcel Anejo;7
85;Barcelo Anejo (old);38
87;Barcelo Gran Anejo;5
86;Barcelo Gran Anejo (old);39
88;Barcelo Imperia (old);27
577;Barcelo Imperial;16
578;Barco 15;20
89;Bardinet Negrita Dark;3
90;Bardinet Negrita White;0
579;Barilito Three Star;7
580;Barilito Two Star;5
91;Barra Oak Bay Dark;0
92;Barra Oak Bay White;0
94;Barracuda Rum;3
93;Barracuda Rum Silver;3
95;Bayou Select;9
96;Bermudez 1852 Aniversario;0
97;Bermudez1852 Aniversario 12 Anos;26
98;Berry's Caribbean 12 yr;3
103;Berrys Caribbean Rum XO;7
